English_code,Partial_translated_code,claude_translated_code
"def reverse_matrix(matrix):
    new_matrix = []
    for i in range(len(matrix)):
        new_matrix.append([])
        for j in range(len(matrix[i])):
            new_matrix[i].insert(0, matrix[i][j])
    return new_matrix


# Test case 1
matrix1 = [[1, 2, 3],
           [4, 5, 6],
           [7, 8, 9]]
# Expected output: [[9, 8, 7], [6, 5, 4], [3, 2, 1]]
print(reverse_matrix(matrix1))

# Test case 2
matrix2 = [[1, 2, 3, 4],
           [5, 6, 7, 8]]
# Expected output: [[8, 7, 6, 5], [4, 3, 2, 1]]
print(reverse_matrix(matrix2))

# Test case 3
matrix3 = [[1, 2],
           [3, 4],
           [5, 6]]
# Expected output: [[6, 5], [4, 3], [2, 1]]
print(reverse_matrix(matrix3))","پێناسەکردن reverse_matrix(matrix):
    new_matrix = []
    بۆ i لەناو ڕێژە(درێژی(matrix)):
        new_matrix.زیاد_بکە([])
        بۆ j لەناو ڕێژە(درێژی(matrix[i])):
            new_matrix[i].تێکردن(0, matrix[i][j])
    گەڕانەوە new_matrix


 #Test case 1
matrix1 = [[1, 2, 3],
           [4, 5, 6],
           [7, 8, 9]]
 #Expected output: [[9, 8, 7], [6, 5, 4], [3, 2, 1]]
چاپکردن(reverse_matrix(matrix1))

 #Test case 2
matrix2 = [[1, 2, 3, 4],
           [5, 6, 7, 8]]
 #Expected output: [[8, 7, 6, 5], [4, 3, 2, 1]]
چاپکردن(reverse_matrix(matrix2))

 #Test case 3
matrix3 = [[1, 2],
           [3, 4],
           [5, 6]]
 #Expected output: [[6, 5], [4, 3], [2, 1]]
چاپکردن(reverse_matrix(matrix3))","پێناسەکردن matrix_پاشەکەوت(matrix):
    نوێ_matrix = []
    بۆ ez لەناو ڕێژە(درێژی(matrix)):
        نوێ_matrix.زیاد_بکە([])
        بۆ j لەناو ڕێژە(درێژی(matrix[ez])):
            نوێ_matrix[ez].تێکردن(0, matrix[ez][j])
    گەڕانەوە نوێ_matrix


 #نموونەی تاقیکردنەوە 1
matrix1 = [[1, 2, 3],
           [4, 5, 6],
           [7, 8, 9]]
 #دەرهاویشتنی چاوەڕوانکراو: [[9, 8, 7], [6, 5, 4], [3, 2, 1]]
چاپکردن(matrix_پاشەکەوت(matrix1))

 #نموونەی تاقیکردنەوە 2
matrix2 = [[1, 2, 3, 4],
           [5, 6, 7, 8]]
 #دەرهاویشتنی چاوەڕوانکراو: [[8, 7, 6, 5], [4, 3, 2, 1]]
چاپکردن(matrix_پاشەکەوت(matrix2))

 #نموونەی تاقیکردنەوە 3
matrix3 = [[1, 2],
           [3, 4],
           [5, 6]]
 #دەرهاویشتنی چاوەڕوانکراو: [[6, 5], [4, 3], [2, 1]]
چاپکردن(matrix_پاشەکەوت(matrix3))"
"def fibonacci(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fibonacci(n-1) + fibonacci(n-2)

# Example usage
n = 10
fibonacci_number = fibonacci(n)
print(f""The Fibonacci number at index {n} is {fibonacci_number}."")","پێناسەکردن fibonacci(n):
    ئەگەر n == 0:
        گەڕانەوە 0
    ئەگەرنا_ئەگەر... n == 1:
        گەڕانەوە 1
    ئی_تر:
        گەڕانەوە fibonacci(n-1) + fibonacci(n-2)

 #Example usage
n = 10
fibonacci_number = fibonacci(n)
چاپکردن(f""The Fibonacci number at index {n} is {fibonacci_number}."")","پێناسەکردن زنجیرەی_فیبۆناچی(ژ):
    ئەگەر ژ == 0:
        گەڕانەوە 0
    ئەگەرنا_ئەگەر... ژ == 1:
        گەڕانەوە 1
    ئی_تر:
        گەڕانەوە زنجیرەی_فیبۆناچی(ژ-1) + زنجیرەی_فیبۆناچی(ژ-2)

 #نموونەی بەکارهێنان
ژ = 10
ژمارەی_فیبۆناچی = زنجیرەی_فیبۆناچی(ژ)
چاپکردن(f""ژمارەی فیبۆناچی لە ئەندێکسی {ژ} بریتیە لە {ژمارەی_فیبۆناچی}."")"
"def count_unique_consonants(string):
    consonants = set()
    lowercase_string = string.lower()
    for char in lowercase_string:
        if char.isalpha() and char not in 'aeiou':
            consonants.add(char)
    return len(consonants)","پێناسەکردن count_unique_consonants(string):
    consonants = دانان()
    lowercase_string = string.کەمتر()
    بۆ char لەناو lowercase_string:
        ئەگەر char.بە_ئەلفوبێیە() و char نەخێر لەناو 'aeiou':
            consonants.زیادکردن(char)
    گەڕانەوە درێژی(consonants)","پێناسەکردن Hejmarkirina_dengdêrên_cuda(ben):
    dengdêr = دانان()
    ben_biçûk = ben.biçûk()
    بۆ tîp لەناو ben_biçûk:
        ئەگەر tîp.tîpê_pîtê() و tîp نەخێر لەناو 'aeiou':
            dengdêr.زیادکردن(tîp)
    گەڕانەوە درێژی(dengdêr)"
"def filter_and_replace(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    filtered_words = []
    
    words = string.split()
    
    for word in words:
        if any(char.isdigit() or not char.isalpha() for char in word):
            continue
        
        if len(word) > 3 and any(char in vowels for char in word):
            filtered_word = """"
            for char in word:
                if char in vowels:
                    vowel_index = vowels.index(char)
                    next_vowel = vowels[(vowel_index + 1) % len(vowels)]
                    filtered_word += next_vowel
                else:
                    filtered_word += char
            filtered_words.append(filtered_word)
    
    return "" "".join(filtered_words)


# Example usage:
input_string = ""Hello world! This is a test string. Filter me out if I contain numbers or special characters.""
output_string = filter_and_replace(input_string)
print(output_string)","پێناسەکردن filter_and_replace(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    filtered_words = []
    
    words = string.لەتکردن()
    
    بۆ word لەناو words:
        ئەگەر هەر(char.ژمارەیە() یان نەخێر char.بە_ئەلفوبێیە() بۆ char لەناو word):
            بەردەوام_بوون
        
        ئەگەر درێژی(word) > 3 و هەر(char لەناو vowels بۆ char لەناو word):
            filtered_word = """"
            بۆ char لەناو word:
                ئەگەر char لەناو vowels:
                    vowel_index = vowels.ئیندێکس(char)
                    next_vowel = vowels[(vowel_index + 1) % درێژی(vowels)]
                    filtered_word += next_vowel
                ئی_تر:
                    filtered_word += char
            filtered_words.زیاد_بکە(filtered_word)
    
    گەڕانەوە "" "".پەیوەندیکردن(filtered_words)


 #Example usage:
input_string = ""Hello world! This is a test string. Filter me out if I contain numbers or special characters.""
output_string = filter_and_replace(input_string)
چاپکردن(output_string)","پێناسەکردن filter_and_replace(ben):
    دەنگدارەکان = ['a', 'e', 'i', 'o', 'u']
    وشە_پاڵێوراوەکان = []
    
    وشەکان = ben.لەتکردن()
    
    بۆ وشە لەناو وشەکان:
        ئەگەر هەر(ekar.ژمارەیە() یان نەخێر ekar.بە_ئەلفوبێیە() بۆ ekar لەناو وشە):
            بەردەوام_بوون
        
        ئەگەر درێژی(وشە) > 3 و هەر(ekar لەناو دەنگدارەکان بۆ ekar لەناو وشە):
            وشە_پاڵێوراو = """"
            بۆ ekar لەناو وشە:
                ئەگەر ekar لەناو دەنگدارەکان:
                    دەنگدار_ئیندێکس = دەنگدارەکان.ئیندێکس(ekar)
                    دەنگداری_داهاتوو = دەنگدارەکان[(دەنگدار_ئیندێکس + 1) % درێژی(دەنگدارەکان)]
                    وشە_پاڵێوراو += دەنگداری_داهاتوو
                ئی_تر:
                    وشە_پاڵێوراو += ekar
            وشە_پاڵێوراوەکان.زیاد_بکە(وشە_پاڵێوراو)
    
    گەڕانەوە "" "".پەیوەندیکردن(وشە_پاڵێوراوەکان)


 #نموونەی بەکارهێنان:
input_ben = ""Hello world! This is a test string. Filter me out if I contain numbers or special characters.""
output_ben = filter_and_replace(input_ben)
چاپکردن(output_ben)"
"def isOddPrimeGreaterThan100(number):
    if number <= 100 or number % 2 == 0:  # Check if number is less than or equal to 100 or even
        return False
    for i in range(3, int(number**0.5) + 1, 2):  # Check divisibility by odd numbers only
        if number % i == 0:
            return False
    return True

def findSecondSmallestOddPrimeGreaterThan100(array):
    smallest = secondSmallest = float('inf')
    for number in array:
        if isOddPrimeGreaterThan100(number):
            if number < smallest:
                secondSmallest = smallest
                smallest = number
            elif number < secondSmallest:
                secondSmallest = number
    return secondSmallest","پێناسەکردن isOddPrimeGreaterThan100(number):
    ئەگەر number <= 100 یان number % 2 == 0: #Check if number is less than or equal to 100 or even
        گەڕانەوە هەڵە
    بۆ i لەناو ڕێژە(3, ژمارەیەکی_تەواو(number**0.5) + 1, 2): #Check divisibility by odd numbers only
        ئەگەر number % i == 0:
            گەڕانەوە هەڵە
    گەڕانەوە ڕاست

پێناسەکردن findSecondSmallestOddPrimeGreaterThan100(array):
    smallest = secondSmallest = خاڵی_هەڵدەفڕێت('inf')
    بۆ number لەناو array:
        ئەگەر isOddPrimeGreaterThan100(number):
            ئەگەر number < smallest:
                secondSmallest = smallest
                smallest = number
            ئەگەرنا_ئەگەر... number < secondSmallest:
                secondSmallest = number
    گەڕانەوە secondSmallest","پێناسەکردن ئایا_ناوازە_سەرەکی_گەورەتر_لە_100(ژمارە):
    ئەگەر ژمارە <= 100 یان ژمارە % 2 == 0: #کۆنترۆڵکردنی ئەوەی ژمارە کەمتر یان یەکسانە بە 100 یان ژوو
        گەڕانەوە هەڵە
    بۆ i لەناو ڕێژە(3, ژمارەیەکی_تەواو(ژمارە**0.5) + 1, 2): #کۆنترۆڵکردنی دابەشبوون تەنها بۆ ژمارە فەردەکان
        ئەگەر ژمارە % i == 0:
            گەڕانەوە هەڵە
    گەڕانەوە ڕاست

پێناسەکردن دۆزینەوەی_دووهەمین_بچووکترین_ناوازەی_سەرەکی_گەورەتر_لە_100(لیست):
    بچووکترین = دووهەمین_بچووکترین = خاڵی_هەڵدەفڕێت('inf')
    بۆ ژمارە لەناو لیست:
        ئەگەر ئایا_ناوازە_سەرەکی_گەورەتر_لە_100(ژمارە):
            ئەگەر ژمارە < بچووکترین:
                دووهەمین_بچووکترین = بچووکترین
                بچووکترین = ژمارە
            ئەگەرنا_ئەگەر... ژمارە < دووهەمین_بچووکترین:
                دووهەمین_بچووکترین = ژمارە
    گەڕانەوە دووهەمین_بچووکترین"
"class SeparatorNotFoundError(Exception):
    pass

class MultipleSeparatorsError(Exception):
    pass

try:
    mystring = ""Hello, World!""
    separator = ""#""

    # Incorrect way to split the string on a separator
    split_string = mystring.split(separator, 1)
    if not split_string:
        raise SeparatorNotFoundError(""Separator not found in string"")

    # Additional Requirement:
    # If the separator is found more than once in the string, raise a custom exception called ""MultipleSeparatorsError""

    # Incorrect way to split the string on a separator
    split_string = mystring.split(separator)
    if len(split_string) > 2:
        raise MultipleSeparatorsError(""Multiple separators found in string"")

except SeparatorNotFoundError as e:
    print(""Error:"", e)

except MultipleSeparatorsError as e:
    print(""Error:"", e)

except Exception as e:
    print(""Error:"", e)","پۆل SeparatorNotFoundError(بەدەرکردن):
    تێپەڕین

پۆل MultipleSeparatorsError(بەدەرکردن):
    تێپەڕین

هەوڵدان:
    mystring = ""Hello, World!""
    separator = ""#""

     #Incorrect way to split the string on a separator
    split_string = mystring.لەتکردن(separator, 1)
    ئەگەر نەخێر split_string:
        ئیستسنای_بەرز_بکەنەوە SeparatorNotFoundError(""Separator not found in string"")

     #Additional Requirement:
     #If the separator is found more than once in the string, raise a custom exception called ""MultipleSeparatorsError""

     #Incorrect way to split the string on a separator
    split_string = mystring.لەتکردن(separator)
    ئەگەر درێژی(split_string) > 2:
        ئیستسنای_بەرز_بکەنەوە MultipleSeparatorsError(""Multiple separators found in string"")

جگە_لە SeparatorNotFoundError وەک e:
    چاپکردن(""Error:"", e)

جگە_لە MultipleSeparatorsError وەک e:
    چاپکردن(""Error:"", e)

جگە_لە بەدەرکردن وەک e:
    چاپکردن(""Error:"", e)","پۆل جیاکەرەوە_نەدۆزراوەتەوە(بەدەرکردن):
    تێپەڕین

پۆل چەندین_جیاکەرەوە(بەدەرکردن):
    تێپەڕین

هەوڵدان:
    بەندم = ""Hello, World!""
    جیاکەر = ""#""

     #شێوازی هەڵە بۆ لەتکردنی بەند لەسەر جیاکەر
    لەتکراو = بەندم.لەتکردن(جیاکەر, 1)
    ئەگەر نەخێر لەتکراو:
        ئیستسنای_بەرز_بکەنەوە جیاکەرەوە_نەدۆزراوەتەوە(""جیاکەر لە بەند دا نەدۆزراوەتەوە"")

     #داخوازی زیادی:
     #ئەگەر جیاکەر زیاتر لە جارێک لە بەند دا دۆزرایەوە، ئیستسنایەکی تایبەت بەرز بکەوە بە ناوی ""چەندین_جیاکەرەوە""

     #شێوازی هەڵە بۆ لەتکردنی بەند لەسەر جیاکەر
    لەتکراو = بەندم.لەتکردن(جیاکەر)
    ئەگەر درێژی(لەتکراو) > 2:
        ئیستسنای_بەرز_بکەنەوە چەندین_جیاکەرەوە(""چەندین جیاکەر لە بەند دا دۆزراونەتەوە"")

جگە_لە جیاکەرەوە_نەدۆزراوەتەوە وەک e:
    چاپکردن(""هەڵە:"", e)

جگە_لە چەندین_جیاکەرەوە وەک e:
    چاپکردن(""هەڵە:"", e)

جگە_لە بەدەرکردن وەک e:
    چاپکردن(""هەڵە:"", e)"
"def create_index_dictionary(list_one, list_two):
    if len(list_one) != len(list_two):
        raise ValueError(""Input lists must be of equal length"")
    
    index_dict = {}
    for i in range(len(list_one)):
        if isinstance(list_one[i], (list, dict, tuple)) and isinstance(list_two[i], (list, dict, tuple)):
            if isinstance(list_one[i], set) or isinstance(list_two[i], set):
                raise ValueError(""Input lists cannot contain sets"")
            
            nested_dict = {}
            if isinstance(list_one[i], dict) and isinstance(list_two[i], dict):
                if len(list_one[i]) != len(list_two[i]):
                    raise ValueError(""Nested dictionaries must have the same number of elements"")
                
                for key in list_one[i].keys():
                    if key not in list_two[i]:
                        raise ValueError(""Keys in nested dictionaries must be the same"")
                    nested_dict[key] = (list_one[i][key], list_two[i][key])
            elif isinstance(list_one[i], list) and isinstance(list_two[i], list):
                if len(list_one[i]) != len(list_two[i]):
                    raise ValueError(""Nested lists must have the same length"")
                
                for j in range(len(list_one[i])):
                    nested_dict[j] = (list_one[i][j], list_two[i][j])
            elif isinstance(list_one[i], tuple) and isinstance(list_two[i], tuple):
                if len(list_one[i]) != len(list_two[i]):
                    raise ValueError(""Tuples must have the same length"")
                
                for j in range(len(list_one[i])):
                    nested_dict[j] = (list_one[i][j], list_two[i][j])
            
            index_dict[i] = nested_dict
        else:
            index_dict[i] = (list_one[i], list_two[i])
    
    return index_dict","پێناسەکردن create_index_dictionary(list_one, list_two):
    ئەگەر درێژی(list_one) != درێژی(list_two):
        ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""Input lists must be of equal length"")
    
    index_dict = {}
    بۆ i لەناو ڕێژە(درێژی(list_one)):
        ئەگەر نموونەیە(list_one[i], (لیست, فەرهەنگ, tuple)) و نموونەیە(list_two[i], (لیست, فەرهەنگ, tuple)):
            ئەگەر نموونەیە(list_one[i], دانان) یان نموونەیە(list_two[i], دانان):
                ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""Input lists cannot contain sets"")
            
            nested_dict = {}
            ئەگەر نموونەیە(list_one[i], فەرهەنگ) و نموونەیە(list_two[i], فەرهەنگ):
                ئەگەر درێژی(list_one[i]) != درێژی(list_two[i]):
                    ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""Nested dictionaries must have the same number of elements"")
                
                بۆ key لەناو list_one[i].کلیلەکان():
                    ئەگەر key نەخێر لەناو list_two[i]:
                        ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""Keys in nested dictionaries must be the same"")
                    nested_dict[key] = (list_one[i][key], list_two[i][key])
            ئەگەرنا_ئەگەر... نموونەیە(list_one[i], لیست) و نموونەیە(list_two[i], لیست):
                ئەگەر درێژی(list_one[i]) != درێژی(list_two[i]):
                    ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""Nested lists must have the same length"")
                
                بۆ j لەناو ڕێژە(درێژی(list_one[i])):
                    nested_dict[j] = (list_one[i][j], list_two[i][j])
            ئەگەرنا_ئەگەر... نموونەیە(list_one[i], tuple) و نموونەیە(list_two[i], tuple):
                ئەگەر درێژی(list_one[i]) != درێژی(list_two[i]):
                    ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""Tuples must have the same length"")
                
                بۆ j لەناو ڕێژە(درێژی(list_one[i])):
                    nested_dict[j] = (list_one[i][j], list_two[i][j])
            
            index_dict[i] = nested_dict
        ئی_تر:
            index_dict[i] = (list_one[i], list_two[i])
    
    گەڕانەوە index_dict","پێناسەکردن نوسینی_فەرهەنگی_ئەندێکس(لیستی_یەکەم, لیستی_دووەم):
    ئەگەر درێژی(لیستی_یەکەم) != درێژی(لیستی_دووەم):
        ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""لیستەکانی تێکەڵاو دەبێت هەمان درێژی هەبن"")
    
    فەرهەنگی_ئەندێکس = {}
    بۆ ژ لەناو ڕێژە(درێژی(لیستی_یەکەم)):
        ئەگەر نموونەیە(لیستی_یەکەم[ژ], (لیست, فەرهەنگ, tuple)) و نموونەیە(لیستی_دووەم[ژ], (لیست, فەرهەنگ, tuple)):
            ئەگەر نموونەیە(لیستی_یەکەم[ژ], دانان) یان نموونەیە(لیستی_دووەم[ژ], دانان):
                ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""لیستەکان ناتوانن دانان بگرنەوە"")
            
            فەرهەنگی_ناوخۆیی = {}
            ئەگەر نموونەیە(لیستی_یەکەم[ژ], فەرهەنگ) و نموونەیە(لیستی_دووەم[ژ], فەرهەنگ):
                ئەگەر درێژی(لیستی_یەکەم[ژ]) != درێژی(لیستی_دووەم[ژ]):
                    ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""فەرهەنگە ناوخۆییەکان دەبێت هەمان ژمارەی توخم هەبن"")
                
                بۆ کلیل لەناو لیستی_یەکەم[ژ].کلیلەکان():
                    ئەگەر کلیل نەخێر لەناو لیستی_دووەم[ژ]:
                        ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""کلیلەکانی فەرهەنگی ناوخۆیی دەبێت هاوشێوە بن"")
                    فەرهەنگی_ناوخۆیی[کلیل] = (لیستی_یەکەم[ژ][کلیل], لیستی_دووەم[ژ][کلیل])
            ئەگەرنا_ئەگەر... نموونەیە(لیستی_یەکەم[ژ], لیست) و نموونەیە(لیستی_دووەم[ژ], لیست):
                ئەگەر درێژی(لیستی_یەکەم[ژ]) != درێژی(لیستی_دووەم[ژ]):
                    ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""لیستە ناوخۆییەکان دەبێت هەمان درێژی هەبن"")
                
                بۆ ج لەناو ڕێژە(درێژی(لیستی_یەکەم[ژ])):
                    فەرهەنگی_ناوخۆیی[ج] = (لیستی_یەکەم[ژ][ج], لیستی_دووەم[ژ][ج])
            ئەگەرنا_ئەگەر... نموونەیە(لیستی_یەکەم[ژ], tuple) و نموونەیە(لیستی_دووەم[ژ], tuple):
                ئەگەر درێژی(لیستی_یەکەم[ژ]) != درێژی(لیستی_دووەم[ژ]):
                    ئیستسنای_بەرز_بکەنەوە هەڵەی_بەها(""توخمە گرێدراوەکان دەبێت هەمان درێژی هەبن"")
                
                بۆ ج لەناو ڕێژە(درێژی(لیستی_یەکەم[ژ])):
                    فەرهەنگی_ناوخۆیی[ج] = (لیستی_یەکەم[ژ][ج], لیستی_دووەم[ژ][ج])
            
            فەرهەنگی_ئەندێکس[ژ] = فەرهەنگی_ناوخۆیی
        ئی_تر:
            فەرهەنگی_ئەندێکس[ژ] = (لیستی_یەکەم[ژ], لیستی_دووەم[ژ])
    
    گەڕانەوە فەرهەنگی_ئەندێکس"
"def find_maximum(a, b, c):
    # Convert the numbers to binary
    a_bin = bin(a)
    b_bin = bin(b)
    c_bin = bin(c)
    
    # Count the number of 1s in the binary representation of each number
    a_count = a_bin.count('1')
    b_count = b_bin.count('1')
    c_count = c_bin.count('1')
    
    # Compare the counts to find the maximum
    if a_count > b_count and a_count > c_count:
        return a
    elif b_count > a_count and b_count > c_count:
        return b
    else:
        return c","پێناسەکردن find_maximum(a, b, c):
     #Convert the numbers to binary
    a_bin = دوودوویی(a)
    b_bin = دوودوویی(b)
    c_bin = دوودوویی(c)
    
     #Count the number of 1s in the binary representation of each number
    a_count = a_bin.گێرانەوە('1')
    b_count = b_bin.گێرانەوە('1')
    c_count = c_bin.گێرانەوە('1')
    
     #Compare the counts to find the maximum
    ئەگەر a_count > b_count و a_count > c_count:
        گەڕانەوە a
    ئەگەرنا_ئەگەر... b_count > a_count و b_count > c_count:
        گەڕانەوە b
    ئی_تر:
        گەڕانەوە c","پێناسەکردن Dîtina_herî_mezin(a, b, c):
     #Veguherîna hejmar bo binary
    a_bin = دوودوویی(a)
    b_bin = دوودوویی(b)
    c_bin = دوودوویی(c)
    
     #Hejmarkirina 1'an di nîşandana binary ya her hejmarekê
    a_hejmar = a_bin.گێرانەوە('1')
    b_hejmar = b_bin.گێرانەوە('1')
    c_hejmar = c_bin.گێرانەوە('1')
    
     #Berawirdkirina hejmarên 1'an ji bo dîtina herî mezin
    ئەگەر a_hejmar > b_hejmar و a_hejmar > c_hejmar:
        گەڕانەوە a
    ئەگەرنا_ئەگەر b_hejmar > a_hejmar و b_hejmar > c_hejmar:
        گەڕانەوە b
    ئی_تر:
        گەڕانەوە c"
"def quick_sort(arr):
    if len(arr) <= 1:
        return arr, 0
    else:
        pivot = arr[0]
        less = [x for x in arr[1:] if x <= pivot]
        greater = [x for x in arr[1:] if x > pivot]
        sorted_less, comparisons_less = quick_sort(less)
        sorted_greater, comparisons_greater = quick_sort(greater)
        comparisons = len(arr) - 1 + comparisons_less + comparisons_greater
        sorted_arr = sorted_greater + [pivot] + sorted_less
        return sorted_arr, comparisons

# Testing the code
arr = [5, 3, 9, 5, 2, 8, 4]
sorted_arr, comparisons = quick_sort(arr)
print(""Sorted Array:"", sorted_arr)
print(""Number of Comparisons:"", comparisons)","پێناسەکردن quick_sort(arr):
    ئەگەر درێژی(arr) <= 1:
        گەڕانەوە arr, 0
    ئی_تر:
        pivot = arr[0]
        less = [x بۆ x لەناو arr[1:] ئەگەر x <= pivot]
        greater = [x بۆ x لەناو arr[1:] ئەگەر x > pivot]
        sorted_less, comparisons_less = quick_sort(less)
        sorted_greater, comparisons_greater = quick_sort(greater)
        comparisons = درێژی(arr) - 1 + comparisons_less + comparisons_greater
        sorted_arr = sorted_greater + [pivot] + sorted_less
        گەڕانەوە sorted_arr, comparisons

 #Testing the code
arr = [5, 3, 9, 5, 2, 8, 4]
sorted_arr, comparisons = quick_sort(arr)
چاپکردن(""Sorted Array:"", sorted_arr)
چاپکردن(""Number of Comparisons:"", comparisons)","پێناسەکردن ڕێکخستنی_خێرا(array):
    ئەگەر درێژی(array) <= 1:
        گەڕانەوە array, 0
    ئی_تر:
        بڕگە = array[0]
        کەمتر = [x بۆ x لەناو array[1:] ئەگەر x <= بڕگە]
        زیاتر = [x بۆ x لەناو array[1:] ئەگەر x > بڕگە]
        ڕیزکراوی_کەمتر, بەراوردکارییەکانی_کەمتر = ڕێکخستنی_خێرا(کەمتر)
        ڕیزکراوی_زیاتر, بەراوردکارییەکانی_زیاتر = ڕێکخستنی_خێرا(زیاتر)
        بەراوردکارییەکان = درێژی(array) - 1 + بەراوردکارییەکانی_کەمتر + بەراوردکارییەکانی_زیاتر
        ڕیزکراوی_array = ڕیزکراوی_زیاتر + [بڕگە] + ڕیزکراوی_کەمتر
        گەڕانەوە ڕیزکراوی_array, بەراوردکارییەکان

 #تاقیکردنەوەی کۆد
array = [5, 3, 9, 5, 2, 8, 4]
ڕیزکراوی_array, بەراوردکارییەکان = ڕێکخستنی_خێرا(array)
چاپکردن(""ڕیزکراوی ئەرێ:"", ڕیزکراوی_array)
چاپکردن(""ژمارەی بەراوردکارییەکان:"", بەراوردکارییەکان)"
"def calculate_distance(point1, point2):
    distance = ((point2[0] - point1[0])**2 + (point2[1] - point1[1])**2 + (point2[2] - point1[2])**2) ** 0.5
    return distance","پێناسەکردن calculate_distance(point1, point2):
    distance = ((point2[0] - point1[0])**2 + (point2[1] - point1[1])**2 + (point2[2] - point1[2])**2) ** 0.5
    گەڕانەوە distance","پێناسەکردن hesabkirina_dûrî(xاڵ1, xاڵ2):
    dûrî = ((xاڵ2[0] - xاڵ1[0])**2 + (xاڵ2[1] - xاڵ1[1])**2 + (xاڵ2[2] - xاڵ1[2])**2) ** 0.5
    گەڕانەوە dûrî"
"def reverse_matrix(matrix):
    new_matrix = []
    for i in range(len(matrix)):
        new_matrix.append([])
        for j in range(len(matrix[i])):
            new_matrix[i].insert(0, matrix[i][j])
    return new_matrix


# Test case 1
matrix1 = [[1, 2, 3],
           [4, 5, 6],
           [7, 8, 9]]
# Expected output: [[9, 8, 7], [6, 5, 4], [3, 2, 1]]
print(reverse_matrix(matrix1))

# Test case 2
matrix2 = [[1, 2, 3, 4],
           [5, 6, 7, 8]]
# Expected output: [[8, 7, 6, 5], [4, 3, 2, 1]]
print(reverse_matrix(matrix2))

# Test case 3
matrix3 = [[1, 2],
           [3, 4],
           [5, 6]]
# Expected output: [[6, 5], [4, 3], [2, 1]]
print(reverse_matrix(matrix3))","پێناسەکردن reverse_matrix(matrix):
    new_matrix = []
    بۆ i لەناو ڕێژە(درێژی(matrix)):
        new_matrix.زیاد_بکە([])
        بۆ j لەناو ڕێژە(درێژی(matrix[i])):
            new_matrix[i].تێکردن(0, matrix[i][j])
    گەڕانەوە new_matrix


 #Test case 1
matrix1 = [[1, 2, 3],
           [4, 5, 6],
           [7, 8, 9]]
 #Expected output: [[9, 8, 7], [6, 5, 4], [3, 2, 1]]
چاپکردن(reverse_matrix(matrix1))

 #Test case 2
matrix2 = [[1, 2, 3, 4],
           [5, 6, 7, 8]]
 #Expected output: [[8, 7, 6, 5], [4, 3, 2, 1]]
چاپکردن(reverse_matrix(matrix2))

 #Test case 3
matrix3 = [[1, 2],
           [3, 4],
           [5, 6]]
 #Expected output: [[6, 5], [4, 3], [2, 1]]
چاپکردن(reverse_matrix(matrix3))","پێناسەکردن matrix_paşgez_bikin(matrix):
    matrix_nû = []
    بۆ ez لەناو ڕێژە(درێژی(matrix)):
        matrix_nû.زیاد_بکە([])
        بۆ j لەناو ڕێژە(درێژی(matrix[ez])):
            matrix_nû[ez].تێکردن(0, matrix[ez][درێژی(matrix[ez]) - j - 1])
    گەڕانەوە matrix_nû


 #Test case 1
matrix1 = [[1, 2, 3],
           [4, 5, 6],
           [7, 8, 9]]
 #Derketî: [[9, 8, 7], [6, 5, 4], [3, 2, 1]]
چاپکردن(matrix_paşgez_bikin(matrix1))

 #Test case 2
matrix2 = [[1, 2, 3, 4],
           [5, 6, 7, 8]]
 #Derketî: [[8, 7, 6, 5], [4, 3, 2, 1]]
چاپکردن(matrix_paşgez_bikin(matrix2))

 #Test case 3
matrix3 = [[1, 2],
           [3, 4],
           [5, 6]]
 #Derketî: [[6, 5], [4, 3], [2, 1]]
چاپکردن(matrix_paşgez_bikin(matrix3))"
